branch_id,branch_name,address,city,state,postal_code,phone,hours,services
BR001,Boston Branch 1,3363 Main Street,Boston,MA,74459,+1-857-321-8717,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
BR002,Fort Worth Branch 2,2135 Main Street,Fort Worth,TX,64232,+1-878-314-9679,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
BR003,San Jose Branch 3,958 Main Street,San Jose,CA,13404,+1-609-106-7700,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
BR004,Chicago Branch 4,4677 Main Street,Chicago,IL,32787,+1-592-822-6723,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
BR005,Fort Worth Branch 5,1102 Main Street,Fort Worth,TX,48003,+1-428-626-1878,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
BR006,Columbus Branch 6,4155 Main Street,Columbus,OH,69521,+1-687-906-4355,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
BR007,Seattle Branch 7,963 Main Street,Seattle,WA,37465,+1-476-867-7751,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
BR008,Los Angeles Branch 8,1758 Main Street,Los Angeles,CA,60678,+1-781-580-6924,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
BR009,Philadelphia Branch 9,7649 Main Street,Philadelphia,PA,68167,+1-521-956-4659,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
BR010,Los Angeles Branch 10,8924 Main Street,Los Angeles,CA,40659,+1-888-971-5341,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
BR011,Dallas Branch 11,4516 Main Street,Dallas,TX,47269,+1-778-185-1512,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
BR012,San Diego Branch 12,7363 Main Street,San Diego,CA,35418,+1-830-235-5278,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
BR013,Los Angeles Branch 13,1823 Main Street,Los Angeles,CA,15135,+1-758-211-2472,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
BR014,Boston Branch 14,8634 Main Street,Boston,MA,53139,+1-772-856-8337,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
BR015,Seattle Branch 15,2962 Main Street,Seattle,WA,23694,+1-860-332-6832,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
BR016,Philadelphia Branch 16,6167 Main Street,Philadelphia,PA,78196,+1-576-175-3090,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
BR017,Charlotte Branch 17,8008 Main Street,Charlotte,NC,72885,+1-834-859-9094,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
BR018,New York Branch 18,5072 Main Street,New York,NY,89330,+1-705-299-5372,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
BR019,Boston Branch 19,1397 Main Street,Boston,MA,67999,+1-878-301-7455,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
BR020,San Jose Branch 20,4603 Main Street,San Jose,CA,17989,+1-656-762-6638,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
BR021,Detroit Branch 21,1795 Main Street,Detroit,MI,20838,+1-969-632-4163,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
BR022,Charlotte Branch 22,3635 Main Street,Charlotte,NC,71176,+1-766-846-5566,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
BR023,Columbus Branch 23,1933 Main Street,Columbus,OH,23931,+1-393-503-5524,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
BR024,Detroit Branch 24,3947 Main Street,Detroit,MI,68973,+1-816-901-4699,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
BR025,Denver Branch 25,2122 Main Street,Denver,CO,65453,+1-814-613-5363,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
BR026,Philadelphia Branch 26,7723 Main Street,Philadelphia,PA,62539,+1-610-964-2127,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
BR027,Denver Branch 27,2499 Main Street,Denver,CO,81494,+1-874-495-1420,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
BR028,Fort Worth Branch 28,642 Main Street,Fort Worth,TX,61989,+1-396-235-8925,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
BR029,San Diego Branch 29,2249 Main Street,San Diego,CA,37143,+1-904-120-2249,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
BR030,San Diego Branch 30,9202 Main Street,San Diego,CA,41625,+1-448-804-5445,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
BR031,New York Branch 31,5297 Main Street,New York,NY,35260,+1-353-885-2263,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
BR032,Austin Branch 32,6927 Main Street,Austin,TX,98679,+1-794-778-2104,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
